
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,060 K
Registry                       172 Services                   0     88,724 K
smss.exe                       596 Services                   0      1,212 K
csrss.exe                      872 Services                   0      6,848 K
wininit.exe                    648 Services                   0      7,116 K
csrss.exe                      636 Console                    1      6,356 K
services.exe                   968 Services                   0     11,368 K
lsass.exe                     1016 Services                   0     11,856 K
svchost.exe                   1096 Services                   0     17,084 K
fontdrvhost.exe               1128 Services                   0         12 K
WUDFHost.exe                  1136 Services                   0      1,424 K
svchost.exe                   1240 Services                   0     12,660 K
svchost.exe                   1288 Services                   0      4,312 K
winlogon.exe                  1360 Console                    1      1,348 K
fontdrvhost.exe               1412 Console                    1     11,836 K
svchost.exe                   1512 Services                   0      3,816 K
svchost.exe                   1536 Services                   0        768 K
svchost.exe                   1556 Services                   0      2,372 K
svchost.exe                   1576 Services                   0      1,660 K
svchost.exe                   1604 Services                   0      5,412 K
dwm.exe                       1616 Console                    1    246,056 K
svchost.exe                   1836 Services                   0     11,012 K
svchost.exe                   1844 Services                   0      4,460 K
svchost.exe                   1852 Services                   0      4,188 K
svchost.exe                   2012 Services                   0      1,656 K
IntelCpHDCPSvc.exe            2020 Services                   0        920 K
svchost.exe                   2028 Services                   0      8,584 K
svchost.exe                    676 Services                   0        924 K
svchost.exe                   1284 Services                   0      3,788 K
svchost.exe                   2088 Services                   0      5,492 K
svchost.exe                   2096 Services                   0      5,640 K
IntelCpHeciSvc.exe            2232 Services                   0      1,836 K
svchost.exe                   2260 Services                   0      4,148 K
svchost.exe                   2328 Services                   0      5,176 K
svchost.exe                   2412 Services                   0      2,252 K
svchost.exe                   2460 Services                   0      4,736 K
svchost.exe                   2560 Services                   0      1,728 K
igfxCUIService.exe            2576 Services                   0      2,084 K
WUDFHost.exe                  2664 Services                   0      1,496 K
svchost.exe                   2776 Services                   0      7,952 K
svchost.exe                   2832 Services                   0        924 K
svchost.exe                   3008 Services                   0      5,880 K
HipsDaemon.exe                2372 Services                   0     63,628 K
svchost.exe                   2656 Services                   0        952 K
dasHost.exe                   3124 Services                   0         12 K
svchost.exe                   3144 Services                   0      1,080 K
svchost.exe                   3160 Services                   0      1,636 K
svchost.exe                   3180 Services                   0     13,800 K
svchost.exe                   3320 Services                   0      6,036 K
svchost.exe                   3376 Services                   0      2,520 K
svchost.exe                   3464 Services                   0      5,120 K
svchost.exe                   3508 Services                   0      2,636 K
NVDisplay.Container.exe       3652 Services                   0      6,008 K
svchost.exe                   3792 Services                   0      6,576 K
svchost.exe                   3800 Services                   0      1,112 K
svchost.exe                   3856 Services                   0      1,280 K
svchost.exe                   3864 Services                   0      4,756 K
Memory Compression            3880 Services                   0    258,384 K
NVDisplay.Container.exe       3916 Console                    1     10,700 K
svchost.exe                   3116 Services                   0      3,420 K
usysdiag.exe                  3504 Services                   0      1,372 K
wsctrlsvc.exe                 4292 Services                   0      8,420 K
svchost.exe                   4364 Services                   0      7,028 K
svchost.exe                   4500 Services                   0      4,812 K
svchost.exe                   4496 Services                   0      2,596 K
svchost.exe                   4808 Services                   0      7,024 K
svchost.exe                   4880 Services                   0     13,604 K
svchost.exe                   4924 Services                   0      2,544 K
spoolsv.exe                   4992 Services                   0      2,628 K
svchost.exe                   5028 Services                   0      5,180 K
svchost.exe                   5060 Services                   0     15,112 K
wlanext.exe                   5100 Services                   0      1,820 K
conhost.exe                   5116 Services                   0        932 K
Intel_PIE_Service.exe         5244 Services                   0      1,832 K
WmiPrvSE.exe                  5324 Services                   0      5,800 K
svchost.exe                   5488 Services                   0     19,732 K
AlibabaProtect.exe            5516 Services                   0     24,760 K
svchost.exe                   5524 Services                   0      8,456 K
GCUBridge.exe                 5532 Services                   0     20,984 K
svchost.exe                   5540 Services                   0        732 K
svchost.exe                   5548 Services                   0      1,004 K
svchost.exe                   5560 Services                   0        376 K
svchost.exe                   5568 Services                   0      2,332 K
svchost.exe                   5580 Services                   0      5,848 K
vmware-authd.exe              5588 Services                   0      1,708 K
svchost.exe                   5596 Services                   0     21,920 K
